,제목,날짜,작성일,작성자,댓글
147,"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,2021-05-10 09:31:46,장원***,정의당 간 거 아니었어?
148,"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,2021-05-10 08:17:26,S***3,"참나, 이 박가 놈은 왜 꼼지락대는지 모르겠어..ㅋㅋ
뭐 새로운 인물 어쩌구 저째? 넌 전혀 새롭거나 참신하지 않아.. 이 넘아..."
149,"'백신' 각 세우는 이재명·정세균…진중권, 이번엔 '어대명'?",2021-04-29 19:47:00,2021-04-30 07:16:36,c***2,진준권? 뭐 하는 놈인데.. 자꾸 나오니? 지가 김문수 인 줄 알아..ㅋㅋㅋㅋㅋ
150,"'차기 대선' 윤석열, 일대일이면 누구든 이긴다",2021-05-06 15:14:00,2021-05-06 19:46:43,1***y,"기레기들 신났네 ㅋㅋㅋ
아니 저 돼지 마누라랑 장모 좀 조국처럼 캐보라니까"
151,"여권 대선 주자들 앞다퉈 청년 공략…""20살 1억""까지",2021-04-30 20:43:00,2021-05-03 21:11:24,박***규,"정치 한다는 새끼들부터 헛소리를 지껄여대니 나라가 갈팡질팡 서민들만 힘들어지지. 썩을 정치인 새끼들부터 전부다 사기죄로 깜방 보내야해.!
청년들에게 1억씩 돌리면 그돈은 어디서 나오겠어.? 그 청년 부모들에게서 세금으로 뽑아내겠지. 지놈들 사비 털어서 만들겠어.? 전부다 사기꾼 새끼들.!!"
152,"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,2021-04-20 11:00:04,김***기,"고생은 정세균,문재인등 몇분이 하시고
달콤한 열매는 이상직, 김우남, 김어준등 잡배들이 따먹고 있네.

역사를 봐도 어디나 그럽 잡배들이 꼬이기 마련!"
153,"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,2021-04-20 02:31:37,홍***락,성낭 민심은 저버리고 대선출마라...
154,대선 앞두고 또 떠오른 '사면' 이슈…여야 '표 계산' 복잡,2021-04-21 20:08:00,2021-04-24 02:37:51,전***민,"표 계산은 국짐당이 하고있는데
왜 민주당을 끌고들어가나? 이놈의 기레기야!"
155,"윤석열의 길어지는 '침묵과 잠행'...국힘서도 ""합류 어려울 듯""",2021-05-07 11:56:00,2021-05-07 15:00:44,i***4,"( 이슬람의 진실을 밝히는 증거 )

https://k1438.blogspot.kr/2016/12/blog-post.html

I======l

((( ""삶의 의미"" )))


https://youtu.be/NFJHyCau5v8


000000
-----"
156,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 21:33:19,김***철,조중동과 리얼미터를 믿어? 그 거품 빠지는걸 보여주지
157,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:41:08,한***우,세상에나 저분이 대통령이 된다굽쇼??
158,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:37:55,조***영,대선주자 1위가... 대한민국을 위해 무엇을 했는지 도무지 알 수가 없으니... 쩝...
159,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:24:28,1***y,그만 좀 띄워 개역겨워
160,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-18 22:30:40,김***숙,"윤석열은 똥이다
나는 이재명을 지지한다"
161,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-16 01:07:09,J***n,"""타성에 젖지 않고, 늘 겸손하게..."" 이희정 정치부 기자, 웃기지 좀 말고, 기자라고 하지도 말고... 기레기가 정답. 검새 윤석열이가 대통령 후보로 오르내릴 때, 정말 참담하고 민망한 국민들은 생각해 봤나? 홍씨가 그렇게 띄우라 하던? 수구 족벌 언론 사주의 노예일뿐, 기자는 무슨... 나같으면 쪽팔려서라도 그 사진 내린다."
162,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-16 01:02:06,J***n,윤석열 대통령 후보로 띄워주기에 열혈한 Fucking JTBC. 홍석현이 그렇게 시키더냐? 족벌 독재 사주에 노예가 되어 버린 JTBC의 기레기들... 옛날 니들 선배들은 반항이라도 했지. ㅉㅉ 한심한 JTBC.
163,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 07:40:58,동***이,인터넷 신문은 날짜와 시간외에는 믿을게 없댜는데(드라마에 나와)
164,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 05:58:14,c***2,"선호도가 딱 ... 어느 지역 인구 비율이네.. 저런 범죄자 집안 인간들도 대통령 될 수 있는 지역... 이번에, 그 지역 시장 뽑은거 봐라..!! 온갖 잡질로 돈만 챙기던 놈이나 뽑고.. 참, 저 지역 수준은 어떻게 하니... 박정희 전두환이 독재의 단물만 빨던 인간들... 싸나이? 개가 웃는다.."
165,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 02:08:53,f***7,밑에 대깨들 논리가 없노 윤석열 일개 검사였는데 우파 세력과 전직대통령 두명과 깜빵넣은 공으로 검찰총장 낙하산으로 꼽아주고 키워준게 문재인이란걸 모르나? 대가리에 두부만 들었나 ㅋ 대깨들 풉 일개 검사가 대통령감이 아니라고? 그럼 경희대정도 나와데모 흉내내다 변호사 하던 문재인은 대통령 감이야? ㅋ 사시패스도 검사 커트라인이 변호사 보다 위이고 학벌도 위이고 문재인덕에 총장까지 했는데?대깨들때문에 국민이 정신차리네 ㅋ 대깨들화이팅
166,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:59:04,f***7,이낙연은 문재인과 함께 침몰해 제거 될각이고 이재명은 대깨등르 떠않아야 될텐데 점점 대깨들은 침몰각이라 대깨랑 한배탔다간 좌익 자체가 박멸될거고.. 중도 전후를 꽉잡은 윤석열이 그나마 여유롭구나.
167,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:19:36,h***0,"국민의 수준이 이지경이 된게 누구 때문인가?
일개 검사가 대통령감이라니.... 이 사람이 데체 누구란 말인가?
한탄스럽고, 한심스러원진다."
168,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:17:09,h***0,"도데체 국민의 수준이 이 모양이된게 누구 때문인가? 한탄스럽고 수치스럽다.
일개 검사가 대통령감이라니....? 한심하다."
169,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:02:15,o***0,자 문이란 세력은 결국명분만 채기려다 이도저도 안된 댐빵하다 막판에 LH아킬레스로 머된정권이다... 그렇다구 야인들이 멋지게 잘한것도 없다... 정신차려라 여든 야든 정치하는것들은 세금으로 대신 일하는 노비다 그걸 마치 희롱하듯 또 쑈를한다..정신차려라...정치하는것들은 여든야든 다 우리편이아니란것을..바보같이 아직도 선그려구 뇌를 소모하지마라..
170,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 23:51:32,k***3,"윤석열 전 검찰총장, 조국 전 장관 처럼 장모 부인 본인 범죄, 70곳 이상 압수수색 사법처리 했다면 윤석열 본인 부인 장모 몽땅 감방에 쳐박혀 있을 것으로 확신한다."
171,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 23:03:24,이***석,이재명은 혜경궁김씨 사건으로 친문이 죽이려고할때 그냥 탈당해서 정의당이나 국민의당으로 갔으면 지금보다 훨씬 전망 좋았을거다. 지금 민주당에서 백날 친문한테 아부해봐야 친문이 대선후볼 안 밀어준다. 정동영하고 이명박 매치할때도 친문들이 도와주지도 않았다. 친문패권주의는 자기들편이 권력 못잡으면 차라리 상대당에게 권력주는게 낫다라는 생각을 가진 비정상적인 사람들이다.
172,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 22:05:33,김***기,"(외톨이참새)
어리석은 진보들....아니 친문들.
내가 예측한 정치가 꼭맞아들어가는군...
내가 거듭거듭 강조했듯이 니들은 명박이보다 더 모진자를 맞이하게 될거야...
내말이 의심스러우면 내아이디를 정치기사 5개월전부터 검색해보라.
니들은 콧방구를 뀌겠지만, 이젠 재명이도 장담을 못하는 사태까지 왔다.
니들은 이제 사즉생의 심정으로 재명이에게 기대를 하겠지만....
과연 친문과 문통정치의 증오표심을 이길수가 있을까 ?"
173,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:53:05,박***안,윤가가 할수있는것은 범죄자잡는거하고 없는죄도 만드는거외 뭘할수있을까
174,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:44:48,A***n,"나라가 망하는 방법인가?
어디 방글라데시 후진국도 아니고 대한민국 수준 개허접이네"
175,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:36:12,한***우,ㅋㅋㅋJTBC 왜이러냥. 손석희 내려가더니 ;;
176,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:24:08,J***g,JTBC도 진즉에 기레기 반열에 올랐구나...
177,'지지율 1위' 윤석열의 딜레마…대선주자 비호감도 1위,2021-04-14 08:17:00,2021-04-14 14:37:17,c***2,"니 장모랑 와이프 유죄 나올텐데.. 어쩌니? 지지율? 그거 다 뻥이야... 니 돈 많이 쓰,고 찌그러져라...ㅋㅋ"
178,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-05-01 11:07:35,s***9,"법쟁이 다운 멍멍소리

국개에서 판사 검사 출신과 변호사는 이제 그만 찍어주자

저자들은 도무지 시끄러워 서 꼴 보기 싫다

깜빵에서 밥먹어야 할 자 가"
179,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-05-01 09:32:20,린***프,김기현이는 수사를 제대로 했다면 비리혐의로 감옥에 있어야 할 놈으로 보이는데 주둥이는 마구 놀리네
180,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-05-01 09:15:56,y***6,국민의힘은 이번 보선을 7%의 지지율로 이긴것이다.워낙 민주당의 오만과독선이 부른 결과와 안철수대표를 비롯한 중도표심의 결과이다...자만은 금물 이다..완전히 냄새가 나지 않는 개혁이 필요 하다...그래야..윤석열 온다...3세력의 태동을 항상 염두에둬야 한다...
181,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-05-01 08:16:59,솔***몰,"이넘이나 저넘이나 또라이 같은 말만 하냐
저들은 어떤 유전자를 타고 나서 주동이만 벌리면 협박하고 비랄하냐
토착왜구 유전잔가"
182,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-05-01 07:06:18,c***2,왜구놈들... 국민적 저항...? 니들이 그 자리 차지 했을때.. 언떤 개지롤들을 했는지 국민이 다 안다... 계속 깝쳐라.. 그래야..다음에도 폭망하지?
183,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-05-01 07:02:19,김***기,자기동네가서 정치해~ 보기 싫어 듣기 싫어 쌈쟁이 무능력한 국민의 짐
184,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-05-01 06:18:47,최***호,직을 이용한 범죄자가 감옥 가는것이 국격이 떨어진다고? 저런 천박한 범죄자 둘이 국격을 떨어 뜨린거 아니냐? 그래서 당신도 그나물에 그밥인거야! 더럽고 추하고 미천한 ... !
185,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-05-01 00:49:16,J***k,"개소 리 한다 싶어 보면 항상 개 상 디 언 !
독립해라 개상민국으로!"
186,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-04-30 23:18:54,H***s,"원조성범죄부패당주제에...., 법사자리뺏었아, 면죄부받을 생각인가?
이멍닭근녜시절, 검사들이 저지른 범죄부터 단죄해라."
187,"[인터뷰] 김기현 ""민주당, 법사위원장 반환 않으면 강력 저항 받을 것""",2021-04-30 20:39:00,2021-04-30 21:26:58,가***이,"뭐냐 ㅋㅋㅋ
원내대표 되면 법사위원장자리 지들에게 줘야되
지금것 단한번도 협조라는걸 안한 ㅆㄲ들이 이제 저항을 하신다네 ㅎㅎ"
188,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 11:05:37,安***],"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
189,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 10:49:09,d***8,솔직히 LH는 어느당이 집권하던 터질문제였음.. 아직도 숨어있는 적폐가 있다. 없을 리가 없지. 앞으로 계속 적폐 없애나가자
190,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 10:37:16,安***],"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
191,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 09:43:17,y***y,현명한 국민이 정치 지도자들을 리드해야만 한다. 오만방자 & 불손한 여당의 태도에 대한 국민의 회초리다. 재보궐선거 결과를 보고 깨달고 국민의 눈 높이로 볼수있기를 바란다. 다시한번 정권을 잡고 싶다면 정부여당을 통렬한 자기반성의 자세로 취해야 할것이라 생각한다. 왜? 야당이 잘해서 표를준게 아니라 여당이 못해서 야당에 표를 준것이기 때문에!!
192,이재명과 격차 더 벌린 윤석열…'비호감도' 또 최고치,2021-04-20 08:04:00,2021-04-26 09:24:11,T***n,언젠가부터 JTBC도 다른 조잡한 언론들과 비슷해지고 있다는 느낌을 계속 받는다. JTBC가 유일하게 믿던 언론이었다. 지금은 나만 느끼는건지는 모르겠지만 기사에서 공정함이라던가 진실들과 멀어진다는 느낌이 강하게 든다. 손석희씨가 뉴스에서 없어진 그때부터라는 생각이 들지만 제발 아니길 바란다.
193,대선 1년 앞둔 '전초전'…존재감 드러내는 '잠룡들',2021-03-27 19:30:00,2021-03-28 10:09:29,y***6,이번 서울 보선은 실패한 전서울 시장이 출마했음에도--국힘에 유리한것은 안철수와손을 잡고 선거에 임했고--둘째는 민주당의원 의 숫자로의 오만과독선이부른--부동산정책의 실패에 있다고 본다.
194,[JTBC 여론조사] 조금 더 벌어진 윤석열-이재명 지지율 격차...개각 후 민심은?,2021-04-19 19:24:00,2021-04-19 20:15:38,원***리,"선거 끝나니까. LH 얘기 쏙 들어가고. 매일매일 부동산 폭등. 폭등. 전세난민. 이라더만..
요샌 오세훈 효과? 부동산 상승세.

폭등폭등 외치던 새키들이.. 왜 갑자기 부동산 상승세라고 순화시켜서 기사를 써?"
195,"민주당, 무거운 침묵만…박영선 ""시민의 회초리 겸허히 받아들여""",2021-04-07 23:04:00,2021-04-08 10:56:49,O***M,"문재인대통령의 아집이 나은 결과다!
부동산정책 끝까지 밀고 나가시길....
정권이 바뀌는 초석이 될테니!"
196,"민주당, 무거운 침묵만…박영선 ""시민의 회초리 겸허히 받아들여""",2021-04-07 23:04:00,2021-04-08 10:55:47,O***M,"문재인의 아집이 나은 결과다!
부동산정책 끝까지 밀고 나가시길....
정권이 바뀌는 초석이 될테니!"
197,"민주당, 무거운 침묵만…박영선 ""시민의 회초리 겸허히 받아들여""",2021-04-07 23:04:00,2021-04-08 07:56:44,t***a,생태탕이나 드시고 푹 쉬세요~
198,"민주당, 무거운 침묵만…박영선 ""시민의 회초리 겸허히 받아들여""",2021-04-07 23:04:00,2021-04-08 07:53:50,t***a,"오거*, 박원*께 감사드립니다. 덕분입니다."
199,"""1주일에 1천여만원 든다는데""…윤석열 '러브콜' 시작한 국민의힘",2021-04-09 13:52:00,2021-04-09 16:16:12,김***기,"(외톨이참새)
석열이에게 러브콜을 보낸다고 ?
나의 아이디댓글을 본 댓글러들은 잘알고있을것이다.
불과1년전만 하여도 진보댓글을 썼었다는것을...
하지만 문통정치에 구역질이나서 수꼴로 돌아섰었지.
하지만 야당에 아무리 인물이 없기로서니... 석열이는 너무 아니지.
그건 스스로 무덤을 파는격이야....
남의부모가 자기자식이 말을 잘안듣는다고 이웃사람에게 혼구녕을 내주라고 한다고... 진짜로 눈치없이 때리냐 !! 이 멍청들아...."
200,"""1주일에 1천여만원 든다는데""…윤석열 '러브콜' 시작한 국민의힘",2021-04-09 13:52:00,2021-04-09 15:59:16,y***6,진심의 정치는 안대표의 정치철학이다...그래야 지지 를 받는다....
201,"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,2021-04-12 22:47:15,박***안,철수가 토사구팽 당산거같네
202,"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,2021-04-12 14:25:11,k***e,어서 집에가서 손주나 보시오....
203,"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,2021-04-12 11:55:39,장***중,"깜도 안되는 정치인들끼로 서로 잘났다고 싸우니...
우습구먼"
204,"윤석열 '공개적' 사전투표…검찰 내부, '정치행보' 첫 비판",2021-04-01 20:12:00,2021-04-02 15:37:48,c***2,"지들 유리한 정권에 입 맞추던 검찰 놈들아.. 이젠 제발 정신 좀 차려라.. 정치 검찰 그만하고... 안 쪽 팔리니... 무슨 니들이 동네 깡패라고, 범죄자 집안 총장 똘마니가 되어, 양아치 짓을 하게...."
205,"[단독]JTBC 2차 여론조사 오세훈 57.1%, 박영선 36.1%...적극투표층 격차는 줄었다",2021-04-01 17:06:00,2021-04-01 18:45:54,f***7,아직도 지대가리 깨면서 지대가리 골수까지 빨아먹는애들을 잘못된 신념만 앞세워 지지하는 사람들 많네 ㅋㅋㅋ 풉
206,"여 ""일 잘할 후보 골라달라"" vs 야 ""선거 왜 하는지 알려야""",2021-03-25 19:13:00,2021-03-28 23:53:08,장***원,허경영 후보를 TV 3자 토론에 참여시켜라!!!
207,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 14:16:34,g***6,"기대된다 ......... 여론조사 지지율 3위 ........허경영 후보가..........박영선, 오세훈과 토론 하는 것이 말이다............."
208,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:57:49,한***천,"여론 조사 잘 못 돼었다.
허경영과 다른 후보를 포함하여 조사하라.
국민재산, 국가재산 도독질하는 기성정당만 후보가 아니다.
그들은 도둑이다.
허경영이 답이다.
무보수 자원봉사 누가 감히 할 수있나?
한번 손들와보라고요!
누가 시민배당금지급 할 수있나, 기존예산에서 절약하여,
누가 1급수를 시민에게 공급 할 수 있나?
누가 보동산 보유세 폐지 할 수있나?
허경여 대통령 되는 날,
우리 국민은 이보다 더큰 혜택을 본다.
기대하시라 국민이여!"
209,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:52:49,최***숙,서울시장 허경영후보를 적극 지지합니다
210,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:41:09,천***진,"여론조사 공정해야한다..
아파트분양가 상한제를 폐지하고 부동산 투자 시장 자율에 연애 결혼 출산 공영제 하고 취수원을 청평댐으로 옮겨 특급수 공급 하고 보유세 상속세를 폐지하고 양적완화 하여 18세부터 1억주고 세금절약 하여 배당금 150이상 지급 하고 징병제 폐지하고 모병제로 해야 주식시장 1억원 미만 거래세 면제해야 공매도 폐지해야 한다..쌍벌죄를 페지 뇌물 받은 자만 처벌하여 부정부패를 차단한다..UN 본부 판문점으로 이전 해야 한다."
211,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:07:36,국***허,"허경영 지지율 3위!! 4위의 3배로 압도적 3위!!
티비 생방송 '초청토론회'에 0.0% 지지율 이수봉 말고
허경영 초청해야 잼있죠~
선관위가 이상한 듯 합니다"
212,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:06:34,국***허,"허경영 지지율 3위!! 4위의 3배로 압도적 3위!!
티비 생방송 '초청토론회'에 0.0% 지지율 이수봉 말고
허경영 초청해야 잼있죠~~
선관위가 이상한 듯 합니다!!"
213,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 19:13:37,c***2,그래.. 아이들 밥그릇 빼앗는 인간이 서울 시장되고... 대통령도 시켜봐라.. 명박이 근혜 보고도 또 왜구니?
214,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 18:49:50,j***k,"딱히 현 정권이 잘 했다고 할 수는 없지만,,,, 그렇다고 국민의힘이 당선이 된다고 해서 더 잘 할 수 있다고 생각하는 것 자체가 모순 같은데,,,, 점차 투명한 방향으로 개선되고 있는 현 상황에서 다시 불투명의 시대로 전환을 꾀하는 이들의 꾐에 넘어가지는 말아야 할 것 같은데,,,, 쩝, 쩝,,,,ㅠㅠ"
215,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 18:42:58,1***y,기레기들이.저 돼지 장모 마누라 의혹엔 입을 처다무니 ㅋㅋ
216,"박영선 ""하루 2%씩 따라 붙을것"" 민주당은 박빙승부 전망",2021-03-25 11:50:00,2021-03-25 20:43:47,해***기,"지금 기분으로는 제3의 인물이 좀 나왔으면 하는 바람이지만 사표는 만들기 싫고..선거란게 더 나은 쪽보다 덜 나쁜 쪽을 뽑는거라면 나는 민주당을 뽑겠다. MB정권보다 뭐가 나으냐의 문제가 아니라.. MB정권은 역사상 있어서는 안되었을 정권이니까. 미국산 소고기 수입으로 광우병을 들여왔고, 4대강을 해치며 건설사에 부를 몰아주었고, 자원외교란 명목으로 국부를 유출해서 사유화했고, 포스코, 방송사, KT 등 각종 기업들에 낙하산 인사를 꽂아넣으며 건실한 기업을 부실하게 만들었고.. 아 말로 다 할 수 있으랴? 오세훈 전 시장? 한강 르네상스라는 명목으로 소위 있는 지역을 중심으로 개발했고, 전면 무상급식을 반대하며 있는 층과 없는 층을 구분시키려했고, 특별히 한 일이라고는 없었지. 지금 이십대가 지난 시절을 모르고 있다는게 한탄스러울 뿐이구먼.."
217,"박영선 ""하루 2%씩 따라 붙을것"" 민주당은 박빙승부 전망",2021-03-25 11:50:00,2021-03-25 15:32:02,W***o,"MB를 욕하지만 4년간의 행적을 보면 니들은 더 무능하고 부패한거 같은데 과연 누구를 비난할 수준일지 스스로 판단도 안되는 정도인가? 조국, 윤미향, 박원순에 대해 반성도 없고 지속적으로 돌아가며 2차 가해를 하는 놈들이 이기는 꼴을 다음세대에게 보여주고 싶지 않고 그렇게 되어서도 안된다. 이해찬이 이겼다는데 놀지 그러냐?."
218,"박영선 ""하루 2%씩 따라 붙을것"" 민주당은 박빙승부 전망",2021-03-25 11:50:00,2021-03-25 15:31:46,j***2,"박영선이 안되면 서울의 서민들은 모두 가진 자들의 하수민이 되고 말 것이다.
아직도 몰라???"
219,"박영선 ""하루 2%씩 따라 붙을것"" 민주당은 박빙승부 전망",2021-03-25 11:50:00,2021-03-25 15:31:07,j***2,"박영선이 안되면 서울의 서민들은 모두 갑질하는 자들의 하수민이 되고 말 것이다.
아직도 몰라???"
220,"박영선 ""하루 2%씩 따라 붙을것"" 민주당은 박빙승부 전망",2021-03-25 11:50:00,2021-03-25 15:06:58,김***길,"선심성 행정이 아닌 진심을 담은 행정가로 발돋움하시길......빕니다......
근데 왜 빌어야만 하나...그냥 정말 딱 믿고 이사람이다 하는 사람이 시장하면 안되나요?
눈치 안보고 진심으로 서울시민을 위한 공정하고 정의로운 사람 어디에 없죠........ㅠㅠ
그래서 정말 슬퍼요.....맨 그사람이 그사람......휴.....대한민국이여...."
221,"박영선 ""하루 2%씩 따라 붙을것"" 민주당은 박빙승부 전망",2021-03-25 11:50:00,2021-03-25 14:19:57,種***豆,하루에 2%씩 까먹지나 마시길.
222,"다음 대통령은? ""이재명 25%, 윤석열 23%""",2021-03-18 15:54:00,2021-04-01 15:00:16,c***2,장모.. 마누라 사식이나 준비해라.. 범죄자 집안
223,"다음 대통령은? ""이재명 25%, 윤석열 23%""",2021-03-18 15:54:00,2021-03-18 17:35:47,무***심,조금 더 있으면 기름기 쫘`악 빠지지 않을까 생각된다
224,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 23:50:50,박***민,"ㅋㅋㅋ 가짜보수언론에서 언론플레이하네 ㅋㅋㅋ 이사람이 왜 대권후보 1위인데???
아직도 국민을 호구로 보는가?? 기레기들아 ㅋㅋ 그러니 민주당한테 안되는거다
시도민을 위한 행정정책을 내봤나?? 해외 외교정책을 내봤나?? 사람한테 충성을 안한다는게 아니고 가짜보수에 완전 충성질인데 올바른사람한테 충성을 안하는 반역자새끼를???
적당히좀 해라 대구,경북 사람들은 정신좀 차리고 대구사람으로 부끄럽다 부끄러워 어휴 병신들이 너무 많아서"
225,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 17:10:41,솔***몰,"참 똥강아지가 웃겠다
우하하하하하~~~~
기레기들은 역시 기레기들이다
아고 네 참 어이가 없데이
썩렬이가 대권지지 1등이라꼬 카네"
226,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 16:39:45,D***g,기레기...ㅋㅋㅋ
227,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 16:05:08,S***N,뭥미?? 이 사람이 뭘 한게 있다고 1위??? 지나가는 개가 웃겠다^^.......
228,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 16:01:43,박***일,도대체 이사람이 뭘했다고 대권1위야? 뭘했는데?
